Serial-number,Stations,Category,Transmitter,Fequency,Studio,Lat,Lng
292,NUAPARA,LPT RELAY,100 W FM,,,20.5070532,82.605118
293,RAIRANGPUR,,1 kW FM,102.0 MHz,Studio with Voice-over recording &,22.2709322,86.1700894
294,BHATINDA,LRS,6 KW FM,101.1 Mhz,MP,30.210994,74.9454745
295,JALLANDHAR,,300 KW MW,873 khz,TYPE IV UPLINK,31.3260152,75.5761829
296,PATIALA,LRS,6 KW FM,100.2 Mhz,MP,30.3397809,76.3868797
297,GURDASPUR,LPT RELAY,100 W FM,100.1 Mhz,,32.0419424,75.4053367
298,FEROZEPUR,LPT RELAY,100 W FM,100.1 Mhz,,30.9331348,74.6224755
299,LUDHIANA,,5 kW FM,100.1 Mhz,Studio with Voice-over recording &,30.900965,75.8572758
300,AJMER,RELAY,200 KW MW,603 khz,,26.4498954,74.6399163
301,ALWAR,LRS,10 KW FM,103.1 Mhz,MP,27.5529907,76.6345735
302,BANSWARA,LRS,10 KW FM,101.3 Mhz,MP,23.5461394,74.4349761
303,BARMER,,20 kW MW,1458 khz,MP,51.20754,10.4599287
304,BIKANER,,20 kW MW,1395 khz,TYPE II,28.0229348,73.3119159
305,CHITTORGARH,LRS,10 KW FM,102.9 Mhz,MP,24.8887435,74.6269216
306,CHURU,,6 KW FM,100.7 Mhz,MP,28.2925364,74.9707262
307,JAIPUR,,1 kW MW,1476 khz,TYPE IIIUplink News on phone RNU,26.9124336,75.7872709
308,JAISALMER,,10 KW FM,101.8 Mhz,TYPE I,26.9157487,70.9083443
309,JHALAWAR,LRS,6 KW FM,103.2 Mhz,MP,24.5973494,76.1609838
310,JODHPUR,,300 KW MW,531 khz,TYPE III,26.2389469,73.0243094
311,KOTA,LRS,20 kW MW,1413 khz,MP,25.2138156,75.8647527
312,MOUNT ABU,,6 KW FM,103.5 Mhz,MP,24.5925909,72.7156274
313,NAGAUR,LRS,6 KW FM,103.7 Mhz,MP,27.1983368,73.7493272
314,SAWAI MADHOPUR,LRS,6 KW FM,101.5 Mhz,MP,26.0377772,76.3521514
315,SURATGARH,,300 KW MW,918 khz,TYPE I,29.32186,73.9009228
317,NATHWARA,LPT RELAY,100 W FM,100.1 Mhz,,24.9291411,73.8213213
318,JHUNJHUNU,LPT RELAY,100 W FM,100.1 Mhz,,28.1288747,75.3995089
